X,Y,TYPE,SPEED,DirType,Direction
-2.04503,52.62682,31,70,1,315
-2.977479,54.948456,31,60,2,317
-2.976623,54.948854,31,60,1,143
-5.25389,50.11019,4,30,1,63
-5.24614,50.11344,4,5,1,54
-5.2461,50.113492,4,30,1,249
-5.253858,50.11019,4,5,1,230
-5.06397,50.41822,4,30,1,104
-5.05586,50.41828,4,5,1,98
-5.055706,50.418284,4,30,1,272
-5.06381,50.418236,4,5,1,278
-5.05117,50.41775,4,30,1,104
-5.04528,50.41706,4,5,1,100
-5.04508,50.41694,4,30,1,286
-5.051049,50.417767,4,5,1,281
-5.03944,50.41394,4,30,1,326
-5.044909,50.416941,4,5,1,286
-5.044622,50.416893,4,30,1,106
-5.03949,50.414042,4,5,1,138
-4.90567,55.2005,4,60,1,44
-4.88339,55.21369,4,5,1,44
-4.883158,55.213797,4,60,1,240
-4.905693,55.200402,4,5,1,227
-4.90547,50.29989,4,40,1,101
-4.89606,50.29803,4,5,1,93
-4.896177,50.298027,4,40,1,261
-4.905404,50.299892,4,5,1,293
1.56767,52.71983,4,60,1,308
1.54636,52.73069,4,5,1,322
1.546327,52.730722,4,60,1,146
1.567602,52.719899,4,5,1,130
1.53831,52.744,4,60,1,342
1.53272,52.75433,4,5,1,341
1.532797,52.75444,4,60,1,160
1.538383,52.743893,4,5,1,161
1.5295,52.75997,4,50,1,336
1.49167,52.77433,4,5,1,256
1.492023,52.774371,4,50,1,75
1.529543,52.760079,4,5,1,149
1.295747,51.112796,4,50,1,248
1.23088,51.109015,4,5,1,308
1.231448,51.108918,4,50,1,124
1.295489,51.112784,4,5,1,67
1.291,51.36314,4,50,1,231
1.28331,51.36211,4,5,1,265
1.283595,51.362242,4,50,1,86
1.290824,51.363216,4,5,1,58
1.26856,51.35667,4,50,1,72
1.283143,51.362228,4,5,1,71
1.282865,51.362077,4,50,1,262
1.268533,51.356541,4,5,1,248
1.46117,52.75603,4,50,1,59
1.491582,52.774292,4,5,1,69
1.491238,52.774226,4,50,1,253
1.461185,52.756005,4,5,1,234
1.200821,52.024294,4,60,1,255
1.180015,52.026023,4,5,1,302
1.231275,51.109038,4,50,1,302
1.19808,51.11217,4,5,1,265
1.198155,51.112054,4,50,1,95
1.231072,51.109116,4,5,1,118
1.180236,52.026047,4,60,1,114
1.200472,52.02434,4,5,1,77
1.14864,52.02519,4,60,1,79
1.179874,52.026204,4,5,1,109
1.179589,52.026119,4,60,1,295
1.14805,52.024973,4,5,1,258
1.08442,51.90386,4,50,1,257
1.0685,51.89611,4,5,1,215
1.068476,51.896352,4,50,1,32
1.084402,51.904027,4,5,1,74
1.05161,51.88486,4,50,1,88
1.06823,51.89611,4,5,1,33
1.068252,51.895887,4,50,1,212
1.051677,51.884745,4,5,1,260
1.020237,51.989648,4,70,1,248
0.98758,51.97485,4,5,1,211
0.987428,51.97496,4,70,1,31
1.019903,51.989691,4,5,1,71
0.96894,51.95767,4,70,1,36
0.9872,51.974705,4,5,1,31
0.987347,51.974622,4,70,1,211
0.971298,51.959478,4,5,1,208
0.933132,51.126003,4,50,1,307
0.92675,51.130093,4,5,1,313
0.926874,51.130163,4,50,1,133
0.933382,51.126015,4,5,1,132
0.908969,51.139034,4,50,1,135
0.926442,51.13043,4,5,1,126
0.926382,51.130232,4,60,1,316
0.908911,51.138849,4,5,1,322
0.83369,51.18506,4,50,1,314
0.77242,51.19675,4,5,1,294
0.772947,51.196728,4,50,1,119
0.834011,51.185109,4,5,1,135
0.76994,51.40397,4,70,1,198
0.75892,51.39753,4,5,1,235
0.758851,51.397584,4,70,1,51
0.769753,51.403961,4,5,1,28
0.749172,51.391454,4,70,1,220
